,match_id,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,ride_distance,swim_distance,vehicle_destroys,walk_distance,weapons_acquired,round_point,win
59,7198f970-216b-4688-b5e3-b26688d22030,WACE_Vipress,4,0,0,3,66.42541,0,1,0,0,0.0,0,5011.8096,0.0,0,985.19995,2,4,0
60,7198f970-216b-4688-b5e3-b26688d22030,PF_TheSpectro,6,1,0,2,158.64,1,0,1,1,11.818539,0,5657.584,0.0,0,722.1225,4,3,0
61,7198f970-216b-4688-b5e3-b26688d22030,PF_OConnell,6,0,0,7,141.81917,1,2,1,2,109.45324,1,7702.0566,0.0,0,1146.4736,4,4,0
62,7198f970-216b-4688-b5e3-b26688d22030,PF_Fluffybunny,6,0,0,3,88.24765,0,2,0,0,0.0,0,8887.512,0.0,0,730.7505,8,2,0
63,7198f970-216b-4688-b5e3-b26688d22030,PF_MASKULINTING,6,1,0,3,5.4050503,0,1,1,1,116.41873,0,7620.162,0.0,0,1128.995,4,3,0
64,43bc0b6e-be6e-451f-8cb1-e3a200195425,AIR_Adle,12,2,1,4,452.46613,2,7,2,3,88.49802,0,1339.4108,0.0,0,1614.1477,5,3,0
65,43bc0b6e-be6e-451f-8cb1-e3a200195425,AIR_Ironik,12,1,0,3,119.06267,0,3,1,1,169.02,0,1275.4313,0.0,0,1603.0874,5,1,0
66,43bc0b6e-be6e-451f-8cb1-e3a200195425,AIR_Ticko,12,1,2,5,239.54541,0,6,1,1,97.345314,0,1312.6768,0.0,0,1471.2738,5,1,0
67,43bc0b6e-be6e-451f-8cb1-e3a200195425,AIR_KnaZ,12,2,1,3,194.29408,0,1,1,2,50.06615,1,696.1754,0.0,0,1690.787,4,2,0
68,43bc0b6e-be6e-451f-8cb1-e3a200195425,SZ_Salty,15,0,0,0,81.340385,0,0,0,0,0.0,0,4177.291,0.0,0,403.9083,5,0,0
69,43bc0b6e-be6e-451f-8cb1-e3a200195425,SZ_TekkerZ,15,0,0,2,26.63696,0,1,1,1,180.99721,0,3979.6257,0.0,0,824.236,4,1,0
70,43bc0b6e-be6e-451f-8cb1-e3a200195425,SZ_HIMAN,15,1,0,4,422.76248,0,7,1,1,50.930874,0,3966.208,0.0,0,1656.9888,4,1,0
71,43bc0b6e-be6e-451f-8cb1-e3a200195425,SZ_NIXZYEE,15,0,0,2,164.8907,0,0,0,0,0.0,1,3660.7578,0.0,0,666.83875,3,0,0
72,43bc0b6e-be6e-451f-8cb1-e3a200195425,BO_Perinho,7,0,0,3,239.12228,0,4,1,1,35.45757,0,5772.167,0.0,0,1765.0181,6,2,0
73,43bc0b6e-be6e-451f-8cb1-e3a200195425,BO_Brutus,7,1,0,2,255.18527,0,2,0,0,0.0,0,5072.76,0.0,0,1397.4861,5,1,0
74,43bc0b6e-be6e-451f-8cb1-e3a200195425,BO_SandrHeim,7,1,0,5,317.0775,0,1,0,0,0.0,1,5269.3525,0.0,1,1600.0375,5,1,0
75,43bc0b6e-be6e-451f-8cb1-e3a200195425,BO_Haarfeste,7,0,0,1,0.0,0,1,0,0,0.0,0,6159.7725,0.0,0,837.1727,4,0,0
76,43bc0b6e-be6e-451f-8cb1-e3a200195425,KTK_KINGDAINN,6,0,0,0,0.0,0,1,0,0,0.0,0,365.9085,0.0,0,1226.7955,6,2,0
77,43bc0b6e-be6e-451f-8cb1-e3a200195425,KTK_Yippikayey,6,0,0,0,0.0,0,0,0,0,0.0,0,744.9164,0.0,0,901.7358,5,2,0
78,43bc0b6e-be6e-451f-8cb1-e3a200195425,KTK_Doffy,6,0,0,0,57.809998,0,0,0,0,0.0,0,414.47266,0.0,0,698.5717,5,2,0
79,43bc0b6e-be6e-451f-8cb1-e3a200195425,KTK_Isaksa,6,1,0,7,131.57564,0,4,0,0,0.0,0,3216.3125,0.0,0,1044.1874,11,2,0
80,43bc0b6e-be6e-451f-8cb1-e3a200195425,WFH_PartyBeetle,8,4,1,6,601.6812,1,4,1,3,70.03958,2,7876.5586,0.0,1,2048.3057,9,4,0
81,43bc0b6e-be6e-451f-8cb1-e3a200195425,WFH_Flow1e,8,0,2,4,303.34537,0,2,0,0,0.0,0,8431.12,0.0,0,1441.5994,5,1,0
82,43bc0b6e-be6e-451f-8cb1-e3a200195425,WFH_boba,8,2,1,4,531.4561,0,2,1,1,62.6964,0,8843.84,0.0,0,1214.4828,7,2,0
83,43bc0b6e-be6e-451f-8cb1-e3a200195425,WFH_Hawki,8,1,0,3,197.38916,0,5,1,1,71.87388,0,8764.414,0.0,0,875.9026,4,2,0
84,43bc0b6e-be6e-451f-8cb1-e3a200195425,BZ_deX,3,3,1,7,511.0519,0,1,2,5,322.4083,0,4414.6504,0.0,0,1306.7986,4,10,0
85,43bc0b6e-be6e-451f-8cb1-e3a200195425,BZ_DAVETHECRAZY,3,3,0,10,562.7476,2,8,2,4,589.8875,1,6395.8076,0.0,0,2073.3062,4,9,0
86,43bc0b6e-be6e-451f-8cb1-e3a200195425,BZ_Phon,3,2,2,7,612.0685,1,4,1,2,94.75994,1,6222.6704,0.0,0,2425.262,4,7,0
